# time          
# Time          	cpu             	clock           
0               	2.04000000e+00	2
1               	3.49000000e+00	4
2               	4.30000000e+00	5
3               	4.96000000e+00	5
4               	5.63000000e+00	6
5               	6.29000000e+00	7
6               	6.97000000e+00	7
7               	7.63000000e+00	8
8               	8.28000000e+00	9
9               	8.93000000e+00	9
10              	9.59000000e+00	10
11              	1.02800000e+01	11
12              	1.09300000e+01	11
13              	1.15800000e+01	12
14              	1.22300000e+01	13
15              	1.28800000e+01	13
16              	1.35400000e+01	14
17              	1.42200000e+01	15
18              	1.49000000e+01	15
19              	1.55500000e+01	16
20              	1.62000000e+01	16
21              	1.68400000e+01	17
22              	1.75000000e+01	18
23              	1.81500000e+01	18
24              	1.88100000e+01	19
25              	1.95100000e+01	20
26              	2.02100000e+01	20
27              	2.08600000e+01	21
28              	2.15100000e+01	22
29              	2.21700000e+01	22
30              	2.28200000e+01	23
31              	2.34600000e+01	24
32              	2.41200000e+01	24
33              	2.47700000e+01	25
34              	2.54300000e+01	26
35              	2.61200000e+01	26
36              	2.68000000e+01	27
37              	2.74600000e+01	28
38              	2.81300000e+01	28
39              	2.87900000e+01	29
40              	2.94400000e+01	30
41              	3.01000000e+01	30
42              	3.07400000e+01	31
43              	3.14000000e+01	32
44              	3.20500000e+01	32
45              	3.27000000e+01	33
46              	3.33700000e+01	34
47              	3.40500000e+01	34
48              	3.47400000e+01	35
49              	3.54400000e+01	36
50              	3.60800000e+01	36
51              	3.67500000e+01	37
52              	3.74100000e+01	38
53              	3.80600000e+01	38
54              	3.87100000e+01	39
55              	3.93500000e+01	40
56              	4.00100000e+01	40
57              	4.06500000e+01	41
58              	4.13000000e+01	42
59              	4.19500000e+01	42
60              	4.26000000e+01	43
61              	4.32500000e+01	44
62              	4.39300000e+01	44
63              	4.46100000e+01	45
64              	4.52900000e+01	46
65              	4.59500000e+01	46
66              	4.66100000e+01	47
67              	4.72900000e+01	48
68              	4.79400000e+01	48
69              	4.85800000e+01	49
