# Force coefficients
# liftDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+01
# lRef          : 2.78600000e+00
# Aref          : 2.15400000e+00
# CofR          : (1.39100000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
1               	-1.33103873e-05	6.96777043e-05	8.75618288e-06	-8.93229588e-06	1.76884788e-05
2               	-1.03919580e-04	1.49343349e-03	-1.37348363e-03	-7.90661394e-04	-5.82822234e-04
3               	1.17499264e-04	3.48248828e-03	-3.81593711e-03	-1.79046929e-03	-2.02546782e-03
4               	1.51623183e-04	4.42949085e-03	-5.07937207e-03	-2.38806285e-03	-2.69130922e-03
5               	3.73111729e-04	5.60040050e-03	-6.62919586e-03	-2.94148620e-03	-3.68770966e-03
6               	6.93505030e-04	5.67971587e-03	-6.91783101e-03	-2.76541047e-03	-4.15242053e-03
7               	1.11360402e-03	5.22311971e-03	-6.74531883e-03	-2.25905540e-03	-4.48626343e-03
8               	1.45587910e-03	3.38871302e-03	-4.41256147e-03	-7.50401638e-04	-3.66215983e-03
9               	1.26183549e-03	7.41748238e-04	-8.91427094e-04	8.16121945e-04	-1.70754904e-03
10              	9.53911512e-04	-6.86722828e-04	9.87999194e-04	1.44791111e-03	-4.59911915e-04
11              	3.93964201e-04	-1.73713275e-03	1.73858521e-03	1.26325681e-03	4.75328402e-04
12              	-2.08591152e-04	-1.10016411e-03	7.69048419e-04	1.75933058e-04	5.93115361e-04
13              	-5.40848200e-04	1.41327358e-03	-1.75776722e-03	-1.41973181e-03	-3.38035412e-04
14              	-6.84780390e-04	3.95671967e-03	-4.12793526e-03	-2.74874802e-03	-1.37918724e-03
15              	-7.16174111e-04	6.46022943e-03	-5.70843511e-03	-3.57039167e-03	-2.13804344e-03
16              	-5.54229549e-04	8.44496557e-03	-5.83628787e-03	-3.47237349e-03	-2.36391439e-03
17              	-1.07674891e-04	9.51938990e-03	-4.70101264e-03	-2.45818121e-03	-2.24283143e-03
18              	5.91617493e-04	9.47093654e-03	-3.27915064e-03	-1.04795783e-03	-2.23119281e-03
19              	1.39009963e-03	8.58400938e-03	-3.15732865e-03	-1.88564697e-04	-2.96876395e-03
20              	2.13493169e-03	7.28726694e-03	-4.73969332e-03	-2.34914970e-04	-4.50477835e-03
21              	2.73561311e-03	5.81089973e-03	-7.54495519e-03	-1.03686449e-03	-6.50809071e-03
22              	3.01687971e-03	4.31014187e-03	-1.04108980e-02	-2.18856927e-03	-8.22232869e-03
23              	2.69823302e-03	2.94532602e-03	-1.12197253e-02	-2.91162965e-03	-8.30809568e-03
24              	1.78620068e-03	1.89619026e-03	-9.39512956e-03	-2.91136410e-03	-6.48376546e-03
25              	5.49741391e-04	1.30949705e-03	-5.95371354e-03	-2.42711538e-03	-3.52659816e-03
26              	-6.98565400e-04	1.17596102e-03	-2.26242360e-03	-1.82977720e-03	-4.32646400e-04
27              	-1.73007245e-03	1.48027963e-03	6.38189504e-04	-1.41097770e-03	2.04916720e-03
28              	-2.34646449e-03	2.30926453e-03	1.93212527e-03	-1.38040186e-03	3.31252713e-03
29              	-2.59650242e-03	3.44232268e-03	1.82522207e-03	-1.68389139e-03	3.50911346e-03
30              	-2.67372153e-03	4.64348715e-03	9.40049755e-04	-2.20369665e-03	3.14374641e-03
31              	-2.70977242e-03	5.63078485e-03	-1.81582365e-04	-2.80056361e-03	2.61898124e-03
32              	-2.74693408e-03	6.15731146e-03	-8.42506516e-04	-3.16818734e-03	2.32568083e-03
33              	-2.80466163e-03	6.38372507e-03	-7.26130986e-04	-3.16772712e-03	2.44159614e-03
34              	-2.92100636e-03	6.73848289e-03	4.67460016e-05	-2.89763336e-03	2.94437936e-03
35              	-3.02023087e-03	7.52520435e-03	7.46954084e-04	-2.64675383e-03	3.39370792e-03
36              	-2.97994690e-03	8.73756979e-03	5.15683834e-04	-2.72210498e-03	3.23778882e-03
37              	-2.76563816e-03	1.01843652e-02	-7.71703270e-04	-3.15148979e-03	2.37978652e-03
38              	-2.39543935e-03	1.15953086e-02	-2.79307687e-03	-3.79197778e-03	9.98900910e-04
39              	-1.92444753e-03	1.28028676e-02	-4.97231730e-03	-4.41060617e-03	-5.61711122e-04
40              	-1.51075290e-03	1.36324630e-02	-6.44560871e-03	-4.73355725e-03	-1.71205146e-03
41              	-1.32902248e-03	1.40916322e-02	-6.62149610e-03	-4.63977053e-03	-1.98172557e-03
42              	-1.47992570e-03	1.43324395e-02	-5.50867014e-03	-4.23426077e-03	-1.27440936e-03
43              	-1.89948068e-03	1.46024375e-02	-3.81510645e-03	-3.80703390e-03	-8.07254552e-06
44              	-2.42155351e-03	1.51805394e-02	-2.42976690e-03	-3.63643696e-03	1.20667006e-03
45              	-2.82088306e-03	1.61777859e-02	-2.15552082e-03	-3.89864347e-03	1.74312266e-03
46              	-2.90798970e-03	1.75109555e-02	-3.31913572e-03	-4.56755756e-03	1.24842184e-03
47              	-2.63749003e-03	1.90046696e-02	-5.56915903e-03	-5.42206954e-03	-1.47089480e-04
48              	-2.07241878e-03	2.04825252e-02	-8.28460167e-03	-6.21471962e-03	-2.06988205e-03
49              	-1.37594247e-03	2.17300994e-02	-1.06987587e-02	-6.72532182e-03	-3.97343688e-03
50              	-7.98061722e-04	2.25573941e-02	-1.20599807e-02	-6.82805205e-03	-5.23192861e-03
