# Force coefficients
# liftDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+01
# lRef          : 2.78600000e+00
# Aref          : 2.15400000e+00
# CofR          : (1.39100000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
51              	-5.36209389e-04	2.29299396e-02	-1.20758699e-02	-6.57414435e-03	-5.50172557e-03
52              	-6.65689128e-04	2.29057574e-02	-1.10041686e-02	-6.16777344e-03	-4.83639518e-03
53              	-1.12648879e-03	2.26500364e-02	-9.47906711e-03	-5.86602234e-03	-3.61304476e-03
54              	-1.75781164e-03	2.23917887e-02	-8.25394831e-03	-5.88478579e-03	-2.36916252e-03
55              	-2.33677452e-03	2.24066363e-02	-7.96832443e-03	-6.32093674e-03	-1.64738769e-03
56              	-2.67352005e-03	2.28961084e-02	-8.91451859e-03	-7.13077935e-03	-1.78373924e-03
57              	-2.69295921e-03	2.39765544e-02	-1.08723405e-02	-8.12912944e-03	-2.74321103e-03
58              	-2.46971078e-03	2.55565342e-02	-1.31299188e-02	-9.03467019e-03	-4.09524863e-03
59              	-2.21686440e-03	2.72972497e-02	-1.47282890e-02	-9.58100888e-03	-5.14728008e-03
60              	-2.14280078e-03	2.88387939e-02	-1.51104560e-02	-9.69802879e-03	-5.41242723e-03
61              	-2.33293298e-03	3.00126755e-02	-1.43293054e-02	-9.49758570e-03	-4.83171973e-03
62              	-2.77020114e-03	3.07746442e-02	-1.28344326e-02	-9.18741746e-03	-3.64701518e-03
63              	-3.34616229e-03	3.11672339e-02	-1.13247935e-02	-9.00855905e-03	-2.31623448e-03
64              	-3.85954584e-03	3.13230521e-02	-1.06040231e-02	-9.16155740e-03	-1.44246572e-03
65              	-4.10674618e-03	3.14633812e-02	-1.11216725e-02	-9.66758245e-03	-1.45409010e-03
66              	-4.02795153e-03	3.18030158e-02	-1.26322708e-02	-1.03440869e-02	-2.28818385e-03
67              	-3.73622005e-03	3.24556645e-02	-1.44229133e-02	-1.09476767e-02	-3.47523662e-03
68              	-3.39616663e-03	3.33868889e-02	-1.58715358e-02	-1.13319345e-02	-4.53960128e-03
69              	-3.14422105e-03	3.45297621e-02	-1.66106163e-02	-1.14495292e-02	-5.16108712e-03
70              	-3.05300588e-03	3.58037867e-02	-1.65794280e-02	-1.13427199e-02	-5.23670812e-03
71              	-3.12995557e-03	3.71355818e-02	-1.59580373e-02	-1.11089742e-02	-4.84906308e-03
72              	-3.30038253e-03	3.84111108e-02	-1.52233355e-02	-1.09120503e-02	-4.31128521e-03
73              	-3.45049160e-03	3.95311759e-02	-1.48326001e-02	-1.08667916e-02	-3.96580843e-03
74              	-3.48208349e-03	4.04481840e-02	-1.50318405e-02	-1.09980037e-02	-4.03383675e-03
75              	-3.31624230e-03	4.11560817e-02	-1.58326856e-02	-1.12325851e-02	-4.60010050e-03
76              	-2.96890704e-03	4.15949533e-02	-1.69986813e-02	-1.14682477e-02	-5.53043359e-03
77              	-2.53890238e-03	4.17689972e-02	-1.81554728e-02	-1.16166388e-02	-6.53883400e-03
78              	-2.16670589e-03	4.17874862e-02	-1.89983176e-02	-1.16658647e-02	-7.33245290e-03
79              	-1.97156099e-03	4.18346911e-02	-1.94352414e-02	-1.16891817e-02	-7.74605970e-03
80              	-1.99877502e-03	4.20885253e-02	-1.95448295e-02	-1.17711898e-02	-7.77363972e-03
81              	-2.17884833e-03	4.26530984e-02	-1.95207230e-02	-1.19392098e-02	-7.58151318e-03
82              	-2.39885500e-03	4.34990589e-02	-1.95442481e-02	-1.21709791e-02	-7.37326905e-03
83              	-2.55326510e-03	4.45039646e-02	-1.96990232e-02	-1.24027767e-02	-7.29624649e-03
84              	-2.58027695e-03	4.54884453e-02	-1.99942142e-02	-1.25773841e-02	-7.41683016e-03
85              	-2.48142702e-03	4.62792683e-02	-2.04185703e-02	-1.26907122e-02	-7.72785812e-03
86              	-2.32546534e-03	4.67716716e-02	-2.09811650e-02	-1.28160478e-02	-8.16511716e-03
87              	-2.20239982e-03	4.69832821e-02	-2.16830269e-02	-1.30439133e-02	-8.63911362e-03
88              	-2.15646535e-03	4.70203079e-02	-2.25592303e-02	-1.34360805e-02	-9.12314982e-03
89              	-2.21899395e-03	4.69931752e-02	-2.35102236e-02	-1.39741058e-02	-9.53611785e-03
90              	-2.36982201e-03	4.69867415e-02	-2.45150199e-02	-1.46273319e-02	-9.88768792e-03
91              	-2.55835379e-03	4.70578899e-02	-2.54577549e-02	-1.52872312e-02	-1.01705237e-02
92              	-2.72691896e-03	4.72078113e-02	-2.62228866e-02	-1.58383623e-02	-1.03845244e-02
93              	-2.82837031e-03	4.73932147e-02	-2.67473231e-02	-1.62020318e-02	-1.05452912e-02
94              	-2.83000818e-03	4.75242846e-02	-2.69953985e-02	-1.63277074e-02	-1.06676911e-02
95              	-2.73009754e-03	4.75850595e-02	-2.70134312e-02	-1.62368131e-02	-1.07766180e-02
96              	-2.53528675e-03	4.76011880e-02	-2.69360881e-02	-1.60033308e-02	-1.09327573e-02
97              	-2.26991585e-03	4.75828727e-02	-2.68450993e-02	-1.56924655e-02	-1.11526338e-02
98              	-1.93359280e-03	4.75274553e-02	-2.67536818e-02	-1.53104337e-02	-1.14432481e-02
99              	-1.50423599e-03	4.74138399e-02	-2.66017629e-02	-1.48051174e-02	-1.17966454e-02
100             	-9.57610221e-04	4.72042440e-02	-2.62686199e-02	-1.40919202e-02	-1.21766997e-02
101             	-2.92072092e-04	4.68720156e-02	-2.56350899e-02	-1.31096170e-02	-1.25254728e-02
102             	4.61883306e-04	4.64124861e-02	-2.46458192e-02	-1.18610263e-02	-1.27847929e-02
103             	1.23994608e-03	4.58579711e-02	-2.33477132e-02	-1.04339105e-02	-1.29138027e-02
104             	1.97782030e-03	4.52606697e-02	-2.18741420e-02	-8.95925068e-03	-1.29148913e-02
105             	2.63138761e-03	4.46807924e-02	-2.03998079e-02	-7.56851632e-03	-1.28312915e-02
106             	3.18392619e-03	4.41653237e-02	-1.90574383e-02	-6.34479294e-03	-1.27126453e-02
107             	3.63372181e-03	4.37436936e-02	-1.79389710e-02	-5.33576370e-03	-1.26032073e-02
108             	3.97845401e-03	4.34343983e-02	-1.71057058e-02	-4.57439890e-03	-1.25313069e-02
109             	4.20340992e-03	4.32540633e-02	-1.65867137e-02	-4.08994691e-03	-1.24967668e-02
110             	4.31500844e-03	4.32421806e-02	-1.63800869e-02	-3.87503502e-03	-1.25050519e-02
111             	4.30996765e-03	4.34191993e-02	-1.64325819e-02	-3.90632330e-03	-1.25262586e-02
112             	4.19930401e-03	4.37755071e-02	-1.66229324e-02	-4.11216218e-03	-1.25107702e-02
113             	3.96706666e-03	4.43044204e-02	-1.68379123e-02	-4.45188949e-03	-1.23860228e-02
114             	3.59806745e-03	4.49942490e-02	-1.70098723e-02	-4.90686871e-03	-1.21030036e-02
115             	3.10393499e-03	4.58169923e-02	-1.71306149e-02	-5.46137243e-03	-1.16692424e-02
116             	2.51985047e-03	4.67292350e-02	-1.72381612e-02	-6.09923013e-03	-1.11389311e-02
117             	1.89409350e-03	4.76879141e-02	-1.73934323e-02	-6.80262267e-03	-1.05908097e-02
118             	1.26519591e-03	4.86724090e-02	-1.76254254e-02	-7.54751677e-03	-1.00779086e-02
119             	6.52541045e-04	4.97018036e-02	-1.79378401e-02	-8.31637902e-03	-9.62146111e-03
120             	7.32439506e-05	5.08041093e-02	-1.82994079e-02	-9.07646001e-03	-9.22294791e-03
121             	-4.49790530e-04	5.20017786e-02	-1.86582694e-02	-9.77892524e-03	-8.87934417e-03
122             	-9.07595217e-04	5.32939490e-02	-1.89729266e-02	-1.03940585e-02	-8.57886807e-03
123             	-1.30166083e-03	5.46394994e-02	-1.91925402e-02	-1.08979310e-02	-8.29460929e-03
124             	-1.65915920e-03	5.60107210e-02	-1.92935636e-02	-1.13059410e-02	-7.98762260e-03
125             	-2.00686864e-03	5.74029471e-02	-1.92734533e-02	-1.16435953e-02	-7.62985801e-03
126             	-2.36177841e-03	5.88288768e-02	-1.91451685e-02	-1.19343627e-02	-7.21080586e-03
127             	-2.71814496e-03	6.02650392e-02	-1.89133464e-02	-1.21748182e-02	-6.73852823e-03
128             	-3.06693004e-03	6.16876828e-02	-1.85893646e-02	-1.23616124e-02	-6.22775227e-03
129             	-3.39600818e-03	6.30695766e-02	-1.81641824e-02	-1.24780994e-02	-5.68608301e-03
130             	-3.70587009e-03	6.43962464e-02	-1.76555439e-02	-1.25336420e-02	-5.12190185e-03
131             	-4.01060614e-03	6.56770723e-02	-1.70704035e-02	-1.25458079e-02	-4.52459563e-03
132             	-4.32698928e-03	6.69199861e-02	-1.64129466e-02	-1.25334626e-02	-3.87948404e-03
133             	-4.66333114e-03	6.81222290e-02	-1.56889316e-02	-1.25077969e-02	-3.18113467e-03
134             	-5.01541164e-03	6.92812878e-02	-1.49249142e-02	-1.24778687e-02	-2.44704545e-03
135             	-5.37811174e-03	7.04089394e-02	-1.41156189e-02	-1.24359212e-02	-1.67969771e-03
136             	-5.75504566e-03	7.15208461e-02	-1.32363099e-02	-1.23732006e-02	-8.63109282e-04
137             	-6.15791578e-03	7.26233989e-02	-1.22695917e-02	-1.22927116e-02	2.31199020e-05
138             	-6.57572821e-03	7.37111544e-02	-1.11768789e-02	-1.21641677e-02	9.87288748e-04
139             	-7.02357064e-03	7.47869345e-02	-1.00624771e-02	-1.20548092e-02	1.99233209e-03
140             	-7.58139792e-03	7.59657911e-02	-8.88609205e-03	-1.20244439e-02	3.13835189e-03
141             	-8.25897365e-03	7.72128352e-02	-7.42455047e-03	-1.19712489e-02	4.54669841e-03
142             	-9.01403804e-03	7.84080724e-02	-5.63272697e-03	-1.18304015e-02	6.19767455e-03
143             	-9.76214757e-03	7.94453309e-02	-3.78267829e-03	-1.16534867e-02	7.87080842e-03
144             	-1.04784025e-02	8.03449447e-02	-2.00373236e-03	-1.14802687e-02	9.47653632e-03
145             	-1.11369024e-02	8.11458954e-02	-4.25404586e-04	-1.13496047e-02	1.09242002e-02
146             	-1.17156886e-02	8.19275983e-02	8.12037175e-04	-1.13096700e-02	1.21217072e-02
147             	-1.21914906e-02	8.27251706e-02	1.57624020e-03	-1.14033705e-02	1.29796107e-02
148             	-1.25647096e-02	8.35392553e-02	1.88438562e-03	-1.16225168e-02	1.35069024e-02
149             	-1.28534344e-02	8.43345981e-02	1.86978210e-03	-1.19185433e-02	1.37883254e-02
150             	-1.30656497e-02	8.50597881e-02	1.63364289e-03	-1.22488282e-02	1.38824711e-02
151             	-1.32118453e-02	8.57607364e-02	1.19288949e-03	-1.26154005e-02	1.38082900e-02
152             	-1.32938901e-02	8.64719170e-02	5.31679408e-04	-1.30280504e-02	1.35597298e-02
153             	-1.33319904e-02	8.72248347e-02	-3.75950696e-04	-1.35199658e-02	1.31440151e-02
154             	-1.33541822e-02	8.79979989e-02	-1.50917715e-03	-1.41087708e-02	1.25995936e-02
155             	-1.33987460e-02	8.87778633e-02	-2.76136141e-03	-1.47794267e-02	1.20180653e-02
156             	-1.34907230e-02	8.95395325e-02	-3.97392853e-03	-1.54776872e-02	1.15037587e-02
157             	-1.36514816e-02	9.02718094e-02	-5.02748326e-03	-1.61652232e-02	1.11377399e-02
158             	-1.38834060e-02	9.09462561e-02	-5.80881732e-03	-1.67878146e-02	1.09789973e-02
159             	-1.41722058e-02	9.15574514e-02	-6.34982117e-03	-1.73471164e-02	1.09972952e-02
160             	-1.44867875e-02	9.20978141e-02	-6.77189354e-03	-1.78727342e-02	1.11008407e-02
161             	-1.47781800e-02	9.26038419e-02	-7.37009147e-03	-1.84632257e-02	1.10931342e-02
162             	-1.50050499e-02	9.31234199e-02	-8.35360215e-03	-1.91818510e-02	1.08282488e-02
163             	-1.51476426e-02	9.36791475e-02	-9.81851614e-03	-2.00569007e-02	1.02383845e-02
164             	-1.52286413e-02	9.42637479e-02	-1.16623061e-02	-2.10597943e-02	9.39748823e-03
165             	-1.52695020e-02	9.48392485e-02	-1.36262282e-02	-2.20826161e-02	8.45638797e-03
166             	-1.53042148e-02	9.53769386e-02	-1.54214280e-02	-2.30149288e-02	7.59350078e-03
167             	-1.53623144e-02	9.59033978e-02	-1.69316851e-02	-2.38281570e-02	6.89647185e-03
168             	-1.54801888e-02	9.64430150e-02	-1.82181322e-02	-2.45892549e-02	6.37112273e-03
169             	-1.56675093e-02	9.70035887e-02	-1.94522452e-02	-2.53936319e-02	5.94138667e-03
170             	-1.59360322e-02	9.75507938e-02	-2.07041692e-02	-2.62881168e-02	5.58394765e-03
171             	-1.62550146e-02	9.80522441e-02	-2.20121506e-02	-2.72610898e-02	5.24893927e-03
172             	-1.66083567e-02	9.84907966e-02	-2.33449878e-02	-2.82808506e-02	4.93586277e-03
173             	-1.69688753e-02	9.88471860e-02	-2.45965148e-02	-2.92671327e-02	4.67061795e-03
174             	-1.73292176e-02	9.90932229e-02	-2.56170500e-02	-3.01377426e-02	4.52069257e-03
175             	-1.76755602e-02	9.92421244e-02	-2.64008916e-02	-3.08760060e-02	4.47511436e-03
176             	-1.79985644e-02	9.93186827e-02	-2.69978730e-02	-3.14975009e-02	4.49962788e-03
177             	-1.82883069e-02	9.93686673e-02	-2.74952559e-02	-3.20359348e-02	4.54067893e-03
178             	-1.85478375e-02	9.94522836e-02	-2.78873887e-02	-3.24915318e-02	4.60414314e-03
179             	-1.87880517e-02	9.96394421e-02	-2.81329361e-02	-3.28545197e-02	4.72158362e-03
180             	-1.90203302e-02	9.99739843e-02	-2.81470227e-02	-3.30938415e-02	4.94681883e-03
181             	-1.92754820e-02	1.00490422e-01	-2.78854683e-02	-3.32182162e-02	5.33274790e-03
182             	-1.95451949e-02	1.01185865e-01	-2.73626174e-02	-3.32265036e-02	5.86388618e-03
183             	-1.97995837e-02	1.02047917e-01	-2.66787647e-02	-3.31389661e-02	6.46020132e-03
184             	-2.00060494e-02	1.03037969e-01	-2.60001656e-02	-3.30061322e-02	7.00596655e-03
185             	-2.01440565e-02	1.04121255e-01	-2.53781588e-02	-3.28331359e-02	7.45497708e-03
186             	-2.02263965e-02	1.05268137e-01	-2.48448362e-02	-3.26488146e-02	7.80397843e-03
187             	-2.02801697e-02	1.06471743e-01	-2.43576437e-02	-3.24589915e-02	8.10134782e-03
188             	-2.02923070e-02	1.07704321e-01	-2.38751663e-02	-3.22298902e-02	8.35472384e-03
189             	-2.02640989e-02	1.08949178e-01	-2.33398930e-02	-3.19340454e-02	8.59415242e-03
190             	-2.02250687e-02	1.10183427e-01	-2.27217155e-02	-3.15859265e-02	8.86421101e-03
191             	-2.01841696e-02	1.11370791e-01	-2.19723242e-02	-3.11703317e-02	9.19800751e-03
192             	-2.01607511e-02	1.12498347e-01	-2.11208148e-02	-3.07211585e-02	9.60034376e-03
193             	-2.01657668e-02	1.13551174e-01	-2.02601581e-02	-3.02958458e-02	1.00356877e-02
194             	-2.01967548e-02	1.14513354e-01	-1.94375667e-02	-2.99155381e-02	1.04779715e-02
195             	-2.02406763e-02	1.15384631e-01	-1.87027527e-02	-2.95920527e-02	1.08893000e-02
196             	-2.03020523e-02	1.16184910e-01	-1.80567633e-02	-2.93304339e-02	1.12736706e-02
197             	-2.03970692e-02	1.16938587e-01	-1.74214191e-02	-2.91077787e-02	1.16863596e-02
198             	-2.05625111e-02	1.17681258e-01	-1.66826810e-02	-2.89038516e-02	1.22211706e-02
199             	-2.08250219e-02	1.18442510e-01	-1.57466584e-02	-2.86983511e-02	1.29516926e-02
200             	-2.11860237e-02	1.19239005e-01	-1.46078208e-02	-2.84899340e-02	1.38821133e-02
201             	-2.16017302e-02	1.20052890e-01	-1.33341826e-02	-2.82688214e-02	1.49346389e-02
202             	-2.20230818e-02	1.20861732e-01	-1.20921093e-02	-2.80691365e-02	1.59770272e-02
203             	-2.24137118e-02	1.21637295e-01	-1.09563129e-02	-2.78918683e-02	1.69355554e-02
204             	-2.27687322e-02	1.22372498e-01	-9.95605733e-03	-2.77467609e-02	1.77907036e-02
205             	-2.30797186e-02	1.23062216e-01	-9.10481823e-03	-2.76321277e-02	1.85273095e-02
206             	-2.33548850e-02	1.23714983e-01	-8.39151385e-03	-2.75506419e-02	1.91591281e-02
207             	-2.36040051e-02	1.24346718e-01	-7.76640482e-03	-2.74872075e-02	1.97208027e-02
208             	-2.38249384e-02	1.24988720e-01	-7.24680480e-03	-2.74483408e-02	2.02015360e-02
209             	-2.39849475e-02	1.25659281e-01	-6.89025504e-03	-2.74300750e-02	2.05398199e-02
210             	-2.40497869e-02	1.26367684e-01	-6.74378587e-03	-2.74216798e-02	2.06778940e-02
211             	-2.39849867e-02	1.27117801e-01	-6.87316705e-03	-2.74215702e-02	2.05484032e-02
212             	-2.37898792e-02	1.27910930e-01	-7.21886097e-03	-2.73993096e-02	2.01804487e-02
213             	-2.34966816e-02	1.28746213e-01	-7.60193482e-03	-2.72976490e-02	1.96957142e-02
214             	-2.31523496e-02	1.29601670e-01	-7.82744189e-03	-2.70660705e-02	1.92386287e-02
215             	-2.27906001e-02	1.30453631e-01	-7.81706289e-03	-2.66991316e-02	1.88820687e-02
216             	-2.23821616e-02	1.31298953e-01	-7.66302250e-03	-2.62136729e-02	1.85506504e-02
217             	-2.18885568e-02	1.32132573e-01	-7.53257576e-03	-2.56548447e-02	1.81222689e-02
218             	-2.13010791e-02	1.32948459e-01	-7.55821103e-03	-2.50801846e-02	1.75219736e-02
219             	-2.06432490e-02	1.33742402e-01	-7.83874091e-03	-2.45626195e-02	1.67238786e-02
220             	-1.99605544e-02	1.34515410e-01	-8.35507466e-03	-2.41380917e-02	1.57830171e-02
221             	-1.92795921e-02	1.35278548e-01	-9.01985755e-03	-2.37895209e-02	1.47696633e-02
222             	-1.86291294e-02	1.36040854e-01	-9.67744216e-03	-2.34678505e-02	1.37904083e-02
223             	-1.80291918e-02	1.36826588e-01	-1.02382247e-02	-2.31483041e-02	1.29100794e-02
224             	-1.74997317e-02	1.37647981e-01	-1.06523553e-02	-2.28259093e-02	1.21735541e-02
225             	-1.70372127e-02	1.38519537e-01	-1.09259062e-02	-2.25001658e-02	1.15742596e-02
226             	-1.66256692e-02	1.39424164e-01	-1.11192877e-02	-2.21853130e-02	1.10660253e-02
227             	-1.62331749e-02	1.40368812e-01	-1.13339714e-02	-2.19001606e-02	1.05661892e-02
228             	-1.58291186e-02	1.41344403e-01	-1.16905195e-02	-2.16743784e-02	9.98385889e-03
229             	-1.53980171e-02	1.42342769e-01	-1.22416538e-02	-2.15188441e-02	9.27719021e-03
230             	-1.49471736e-02	1.43358842e-01	-1.29392843e-02	-2.14168157e-02	8.47753141e-03
231             	-1.45059911e-02	1.44400209e-01	-1.36625031e-02	-2.13372427e-02	7.67473957e-03
232             	-1.41096880e-02	1.45460643e-01	-1.43169586e-02	-2.12681673e-02	6.95120872e-03
233             	-1.37858005e-02	1.46530135e-01	-1.48197604e-02	-2.11956807e-02	6.37592024e-03
234             	-1.35463748e-02	1.47581802e-01	-1.51045649e-02	-2.10986573e-02	5.99409236e-03
235             	-1.33879184e-02	1.48629862e-01	-1.51226188e-02	-2.09492278e-02	5.82660899e-03
236             	-1.32713953e-02	1.49668291e-01	-1.49691082e-02	-2.07559494e-02	5.78684120e-03
237             	-1.31622002e-02	1.50689382e-01	-1.47533632e-02	-2.05388818e-02	5.78551858e-03
238             	-1.30461928e-02	1.51709895e-01	-1.45202117e-02	-2.03062987e-02	5.78608695e-03
239             	-1.29418693e-02	1.52719789e-01	-1.42028272e-02	-2.00432829e-02	5.84045566e-03
240             	-1.28912975e-02	1.53676152e-01	-1.37110407e-02	-1.97468179e-02	6.03577717e-03
241             	-1.29416399e-02	1.54576259e-01	-1.29992756e-02	-1.94412777e-02	6.44200216e-03
242             	-1.31294596e-02	1.55406869e-01	-1.20470866e-02	-1.91530029e-02	7.10591631e-03
243             	-1.34487556e-02	1.56176120e-01	-1.09718340e-02	-1.89346726e-02	7.96283861e-03
244             	-1.38753398e-02	1.56865182e-01	-9.90560033e-03	-1.88281400e-02	8.92253966e-03
245             	-1.43724841e-02	1.57457566e-01	-8.98974782e-03	-1.88673580e-02	9.87761018e-03
246             	-1.48997789e-02	1.57912555e-01	-8.29460247e-03	-1.90470801e-02	1.07524777e-02
247             	-1.54101567e-02	1.58213545e-01	-7.90382540e-03	-1.93620694e-02	1.14582440e-02
248             	-1.58848656e-02	1.58365511e-01	-7.78939333e-03	-1.97795622e-02	1.19901689e-02
249             	-1.63165877e-02	1.58397431e-01	-7.81246308e-03	-2.02228192e-02	1.24103562e-02
250             	-1.67182136e-02	1.58332644e-01	-7.80540673e-03	-2.06209169e-02	1.28155102e-02
251             	-1.71101051e-02	1.58223536e-01	-7.60946381e-03	-2.09148371e-02	1.33053732e-02
252             	-1.75205686e-02	1.58106740e-01	-7.10970515e-03	-2.10754212e-02	1.39657160e-02
253             	-1.79594171e-02	1.58039858e-01	-6.23068537e-03	-2.10747598e-02	1.48440744e-02
254             	-1.84103327e-02	1.58056254e-01	-5.01689235e-03	-2.09187789e-02	1.59018865e-02
255             	-1.88411525e-02	1.58185894e-01	-3.56010532e-03	-2.06212052e-02	1.70610999e-02
256             	-1.92628857e-02	1.58407075e-01	-1.96410557e-03	-2.02449385e-02	1.82808329e-02
257             	-1.96914835e-02	1.58685739e-01	-2.79229881e-04	-1.98310985e-02	1.95518686e-02
258             	-2.01337272e-02	1.58978998e-01	1.43424901e-03	-1.94166027e-02	2.08508517e-02
259             	-2.05783648e-02	1.59265711e-01	3.09920373e-03	-1.90287629e-02	2.21279666e-02
260             	-2.09937036e-02	1.59526485e-01	4.64738749e-03	-1.86700099e-02	2.33173974e-02
261             	-2.13684748e-02	1.59757225e-01	6.07659401e-03	-1.83301778e-02	2.44067718e-02
262             	-2.17245846e-02	1.59949125e-01	7.38500238e-03	-1.80320834e-02	2.54170858e-02
263             	-2.20694521e-02	1.60103613e-01	8.51604905e-03	-1.78114275e-02	2.63274766e-02
